,algo,anormal_detect,anormal_size,component,gamma,machine,normal_detect,normal_size,nu,sensibilite,specificite,type
28,OSVM,220.0,265.0,2.0,0.001,ToyCar_04,320.0,350.0,0.0625875,0.8301886792452831,0.9142857142857143,ToyCar
29,OSVM,221.0,265.0,2.0,0.001,ToyCar_04,316.0,350.0,0.08341666666666667,0.8339622641509434,0.9028571428571428,ToyCar
30,OSVM,226.0,265.0,2.0,0.001,ToyCar_04,305.0,350.0,0.10424583333333333,0.8528301886792453,0.8714285714285714,ToyCar
31,OSVM,227.0,265.0,2.0,0.001,ToyCar_04,297.0,350.0,0.125075,0.8566037735849057,0.8485714285714285,ToyCar
32,OSVM,230.0,265.0,2.0,0.001,ToyCar_04,287.0,350.0,0.14590416666666664,0.8679245283018868,0.82,ToyCar
33,OSVM,234.0,265.0,2.0,0.001,ToyCar_04,286.0,350.0,0.16673333333333332,0.8830188679245283,0.8171428571428572,ToyCar
34,OSVM,235.0,265.0,2.0,0.001,ToyCar_04,276.0,350.0,0.1875625,0.8867924528301887,0.7885714285714286,ToyCar
35,OSVM,236.0,265.0,2.0,0.001,ToyCar_04,266.0,350.0,0.20839166666666664,0.8905660377358491,0.76,ToyCar
36,OSVM,238.0,265.0,2.0,0.001,ToyCar_04,258.0,350.0,0.22922083333333332,0.8981132075471698,0.7371428571428571,ToyCar
37,OSVM,240.0,265.0,2.0,0.001,ToyCar_04,253.0,350.0,0.25005,0.9056603773584906,0.7228571428571429,ToyCar
38,OSVM,242.0,265.0,2.0,0.001,ToyCar_04,248.0,350.0,0.27087916666666667,0.9132075471698113,0.7085714285714285,ToyCar
39,OSVM,246.0,265.0,2.0,0.001,ToyCar_04,239.0,350.0,0.2917083333333333,0.9283018867924528,0.6828571428571428,ToyCar
40,OSVM,247.0,265.0,2.0,0.001,ToyCar_04,233.0,350.0,0.31253749999999997,0.9320754716981132,0.6657142857142857,ToyCar
41,OSVM,248.0,265.0,2.0,0.001,ToyCar_04,233.0,350.0,0.33336666666666664,0.9358490566037736,0.6657142857142857,ToyCar
42,OSVM,248.0,265.0,2.0,0.001,ToyCar_04,228.0,350.0,0.3541958333333333,0.9358490566037736,0.6514285714285715,ToyCar
43,OSVM,248.0,265.0,2.0,0.001,ToyCar_04,222.0,350.0,0.375025,0.9358490566037736,0.6342857142857142,ToyCar
44,OSVM,249.0,265.0,2.0,0.001,ToyCar_04,216.0,350.0,0.3958541666666666,0.939622641509434,0.6171428571428571,ToyCar
45,OSVM,250.0,265.0,2.0,0.001,ToyCar_04,211.0,350.0,0.4166833333333333,0.9433962264150944,0.6028571428571429,ToyCar
46,OSVM,250.0,265.0,2.0,0.001,ToyCar_04,208.0,350.0,0.43751249999999997,0.9433962264150944,0.5942857142857143,ToyCar
47,OSVM,250.0,265.0,2.0,0.001,ToyCar_04,202.0,350.0,0.45834166666666665,0.9433962264150944,0.5771428571428572,ToyCar
48,OSVM,250.0,265.0,2.0,0.001,ToyCar_04,189.0,350.0,0.4791708333333333,0.9433962264150944,0.54,ToyCar
49,OSVM,251.0,265.0,2.0,0.001,ToyCar_04,178.0,350.0,0.5,0.9471698113207547,0.5085714285714286,ToyCar
50,OSVM,120.0,264.0,2.0,0.001,ToyCar_01,344.0,350.0,0.0001,0.45454545454545453,0.9828571428571429,ToyCar
51,OSVM,134.0,264.0,2.0,0.001,ToyCar_01,334.0,350.0,0.020929166666666665,0.5075757575757576,0.9542857142857143,ToyCar
52,OSVM,145.0,264.0,2.0,0.001,ToyCar_01,318.0,350.0,0.041758333333333335,0.5492424242424242,0.9085714285714286,ToyCar
53,OSVM,158.0,264.0,2.0,0.001,ToyCar_01,309.0,350.0,0.0625875,0.5984848484848485,0.8828571428571429,ToyCar
54,OSVM,162.0,264.0,2.0,0.001,ToyCar_01,306.0,350.0,0.08341666666666667,0.6136363636363636,0.8742857142857143,ToyCar
55,OSVM,168.0,264.0,2.0,0.001,ToyCar_01,297.0,350.0,0.10424583333333333,0.6363636363636364,0.8485714285714285,ToyCar
56,OSVM,176.0,264.0,2.0,0.001,ToyCar_01,290.0,350.0,0.125075,0.6666666666666666,0.8285714285714286,ToyCar
57,OSVM,179.0,264.0,2.0,0.001,ToyCar_01,287.0,350.0,0.14590416666666664,0.678030303030303,0.82,ToyCar
58,OSVM,185.0,264.0,2.0,0.001,ToyCar_01,273.0,350.0,0.16673333333333332,0.7007575757575758,0.78,ToyCar
59,OSVM,190.0,264.0,2.0,0.001,ToyCar_01,262.0,350.0,0.1875625,0.7196969696969697,0.7485714285714286,ToyCar
60,OSVM,194.0,264.0,2.0,0.001,ToyCar_01,253.0,350.0,0.20839166666666664,0.7348484848484849,0.7228571428571429,ToyCar
61,OSVM,200.0,264.0,2.0,0.001,ToyCar_01,243.0,350.0,0.22922083333333332,0.7575757575757576,0.6942857142857143,ToyCar
62,OSVM,202.0,264.0,2.0,0.001,ToyCar_01,233.0,350.0,0.25005,0.7651515151515151,0.6657142857142857,ToyCar
63,OSVM,204.0,264.0,2.0,0.001,ToyCar_01,221.0,350.0,0.27087916666666667,0.7727272727272727,0.6314285714285715,ToyCar
64,OSVM,210.0,264.0,2.0,0.001,ToyCar_01,217.0,350.0,0.2917083333333333,0.7954545454545454,0.62,ToyCar
65,OSVM,212.0,264.0,2.0,0.001,ToyCar_01,213.0,350.0,0.31253749999999997,0.803030303030303,0.6085714285714285,ToyCar
